category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,padj
GO:0044421,3.386906331273736e-5,0.9999918109656859,15,551,extracellular region part,CC,0.04504209097668372
GO:0005576,8.867347672769606e-6,0.9999975167579821,21,877,extracellular region,CC,0.01347018153302409
GO:0030234,9.003379753044759e-6,0.9999980620740365,15,547,enzyme regulator activity,MF,0.01347018153302409
GO:0005615,1.4392933497226147e-6,0.9999997357829825,15,406,extracellular space,CC,0.0028711503504716624
GO:0004857,6.756158544570446e-8,0.9999999928498855,12,210,enzyme inhibitor activity,MF,1.6172892323992733e-4
GO:0061134,1.2566479966465388e-10,0.9999999999930237,12,128,peptidase regulator activity,MF,3.760204967965606e-7
GO:0030414,4.400760764816054e-11,1,12,118,peptidase inhibitor activity,MF,1.7557568531361117e-7
GO:0004866,1.540233022986604e-11,1,12,108,endopeptidase inhibitor activity,MF,1.6556957056808522e-7
GO:0061135,2.7666399961247428e-11,1,12,113,endopeptidase regulator activity,MF,1.6556957056808522e-7
